GO_term	genomefreq	chrXXfreq
GO:0007005	5	0
GO:0000001	1	0
GO:0005852	12	0
GO:0003743	24	0
GO:0009916	1	0
GO:0003682	11	0
GO:0004827	3	0
GO:0006433	3	0
GO:0004020	2	0
GO:0000103	3	0
GO:0033180	4	0
GO:0015078	14	0
GO:0015991	18	0
GO:0045454	26	0
GO:0015035	18	0
GO:0003779	17	0
GO:0004674	23	1
GO:0000160	26	0
GO:0006396	40	1
GO:0046540	2	0
GO:0000244	1	0
GO:0006082	1	0
GO:0016310	25	0
GO:0016301	23	1
GO:0016774	1	0
GO:0015934	10	0
GO:0016740	26	0
GO:0005956	3	0
GO:0019887	4	0
GO:0004729	1	0
GO:0004345	1	0
GO:0006006	2	0
GO:0070072	2	0
GO:0005089	7	0
GO:0035023	6	0
GO:0005388	7	0
GO:0006816	8	1
GO:0007017	10	0
GO:0005869	5	0
GO:0006777	5	0
GO:0005829	4	0
GO:0017150	4	0
GO:0009019	1	0
GO:0006435	2	0
GO:0004829	2	0
GO:0016876	8	0
GO:0004601	22	1
GO:0042578	6	0
GO:0046856	2	0
GO:0019904	6	0
GO:0051603	14	0
GO:0004175	12	0
GO:0005839	14	0
GO:0004298	14	0
GO:0016849	1	0
GO:0004016	1	0
GO:0035556	21	0
GO:0009190	1	0
GO:0006171	1	0
GO:0016757	18	0
GO:0016579	14	0
GO:0036459	13	0
GO:0008290	2	0
GO:0051016	2	0
GO:0031204	1	0
GO:0031207	1	0
GO:0006260	35	0
GO:0005664	1	0
GO:0003854	7	0
GO:0006694	9	0
GO:0006122	3	0
GO:0005750	2	0
GO:0046982	25	0
GO:0000774	2	0
GO:0009349	1	0
GO:0009231	7	0
GO:0048015	3	0
GO:0008094	3	0
GO:0000724	5	0
GO:0000150	1	0
GO:1990426	1	0
GO:0006259	5	0
GO:0003690	1	0
GO:0003697	3	0
GO:0019843	7	0
GO:0016820	7	0
GO:0000221	2	0
GO:0046961	11	0
GO:0005773	2	0
GO:0000298	1	0
GO:0006561	9	0
GO:0016620	59	0
GO:0003842	3	0
GO:0006479	4	0
GO:0008168	69	2
GO:0071704	1	0
GO:0004610	1	0
GO:0016868	2	0
GO:0008821	1	0
GO:0008138	9	0
GO:0044237	9	0
GO:0030008	2	0
GO:0006413	15	0
GO:0006367	10	0
GO:0005674	1	0
GO:0006366	4	0
GO:0006098	7	0
GO:0004616	13	0
GO:0008265	1	0
GO:0030151	15	0
GO:0042254	19	0
GO:0016573	6	0
GO:0000123	3	0
GO:0006397	16	0
GO:0006913	3	0
GO:0003951	2	0
GO:0006741	2	0
GO:0019674	2	0
GO:0019211	2	0
GO:0006662	9	0
GO:0052855	1	0
GO:0035091	14	1
GO:0015116	6	0
GO:0008271	6	0
GO:0008272	6	0
GO:0000412	1	0
GO:0018208	1	0
GO:0005528	1	0
GO:0003755	12	0
GO:0046080	1	0
GO:0004170	1	0
GO:0009443	1	0
GO:0008478	1	0
GO:0030337	2	0
GO:0006275	2	0
GO:0017022	1	0
GO:0031625	5	0
GO:0003964	1	0
GO:0003721	1	0
GO:0006231	1	0
GO:0004799	1	0
GO:0006270	10	0
GO:0051301	3	1
GO:0051259	1	0
GO:0051087	4	0
GO:0005801	2	0
GO:0006888	9	0
GO:0000139	6	0
GO:0016746	16	0
GO:0008239	13	0
GO:0005853	1	0
GO:0008017	13	0
GO:0007018	12	0
GO:0003777	25	0
GO:0005669	3	0
GO:0016837	1	0
GO:0005544	3	0
GO:0007049	7	0
GO:0003937	1	0
GO:0004643	1	0
GO:0006164	8	0
GO:0016779	12	0
GO:0034061	2	0
GO:0003887	11	0
GO:0015696	5	0
GO:0008519	5	0
GO:0072488	5	0
GO:0017069	2	0
GO:0015629	6	0
GO:0006529	1	0
GO:0004066	1	0
GO:0004048	1	0
